﻿# Bermuda Coral d18O and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
#
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1872
# Online_Resource: 
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/atlantic/bermuda.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
#--------------------
# Contribution_Date
#	Date: 2002-12-01
#--------------------
# Title
#	Study_Name: Northeast Breakers - del18O, del13C, and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Pätzold, J.; Schnetger, B.; Wefer, G. 
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Pätzold, J.; Schnetger, B.; Wefer, G. 
#       Published_Date_or_Year: 2002-05-20
#       Published_Title: Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records. 
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 179
#       Edition: 
#       Issue: 
#       Pages: 159-171
#       DOI: 10.1016/S0031-0182(01)00410-2
#       Online_Resource: 
#       Full_Citation: Kuhnert, H., J. Pätzold, B. Schnetger, and G. Wefer. 2002. Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records. Palaeogeography, Palaeoclimatology, Palaeoecology 179:159-171, 20 May 2002.
#       Abstract: Records of skeletal d18O in monthly and Sr/Ca ratios in half-yearly resolution were obtained from a Bermuda coral (Diploria labyrinthiformis) for the time period 1520-1603 (±15 years) A.D. within the Little Ice Age. Annual and decadal averages of both sea surface temperature proxies indicate temperature variabilities of 0.5 °C (standard deviation) and 0.3 °C, respectively. Both numbers are close to recent instrumental observations. Approximately 30% of the interannual time series variance of d18O is concentrated in broad bands centered at periods of ~30, 16, and 7.8 years, the last two reflecting the influence of the North Atlantic Oscillation. Although this large-scale climate signal is present in the record, there is no correlation with other contemporaneous Northern Hemisphere proxy data, resulting from spatial differences in climate variability.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Northeast Breakers, Bermuda
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Bermuda
#	Country: Bermuda 
#	Northernmost_Latitude: 32.47 
# 	Southernmost_Latitude: 32.47 
# 	Easternmost_Longitude: -64.70 
# 	Westernmost_Longitude: -64.70 
# 	Elevation: -11 m  
#------------------
# Data_Collection   
#	Collection_Name: 02berm01a
#	Earliest_Year: 1519
#	Most_Recent_Year: 1604
#	Time_Unit: AD
#	Core_Length: 0.26879 m
#	Notes: 
#------------------
# Species
#	Species_Name: Diploria labyrinthiformis 
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Diploria labyrinthiformis, , permil VPDB, , corals and sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploria labyrinthiformis, ,mmol/mol, ,corals and sclerosponges, , analytical technique: ICP-AES,N
##d13C	delta 13C, Diploria labyrinthiformis, , permil VPDB, , corals and sclerosponges, , ,N
##depth	depth, , , mm, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	Sr/Ca	d13C	depth
1589.81	-3.87	NAN	-0.36	41.48
1589.74	-4.04	NAN	-0.46	41.68
1589.68	-4.07	NAN	-0.3	41.88
1589.61	-4.17	9.05	-0.41	42.08
1589.54	-4.05	NAN	-0.24	42.27
1589.48	-3.87	NAN	-0.03	42.47
1589.41	-3.73	NAN	0.17	42.67
1589.34	-3.37	NAN	0.42	42.87
1589.28	-3.43	NAN	0.52	43.07
1589.21	-3.24	9.27	0.52	43.26
1589.15	-3.29	NAN	0.27	43.46
1589.08	-3.37	NAN	-0.13	43.66
1588.96	-3.72	NAN	-0.43	44.06
1588.9	-3.91	NAN	-0.08	44.25
1588.83	-4.07	NAN	-0.13	44.45
1588.77	-4.17	9.01	-0.15	44.65
1588.71	-4.14	NAN	0.01	44.85
1588.65	-4.1	NAN	-0.05	45.05
1588.52	-3.83	NAN	0.28	45.44
1588.46	-3.67	NAN	0.32	45.64
1588.33	-3.39	NAN	0.53	46.04
1588.21	-3.31	9.27	0.38	46.43
1588.13	-3.32	NAN	0.24	46.63
1588.05	-3.5	NAN	0.1	46.82
1587.98	-3.58	NAN	-0.24	47.02
1587.9	-3.73	NAN	-0.07	47.21
1587.82	-3.84	NAN	-0.21	47.4
1587.75	-4.01	NAN	-0.18	47.6
1587.67	-4.11	9.05	-0.08	47.79
1587.59	-3.88	NAN	0.01	47.98
1587.52	-3.93	NAN	0.13	48.18
1587.44	-3.67	NAN	0.34	48.37
1587.36	-3.64	NAN	0.41	48.56
1587.29	-3.38	NAN	0.71	48.76
1587.21	-3.21	9.27	0.93	48.95
1587.15	-3.37	NAN	0.75	49.14
1587.08	-3.25	NAN	0.65	49.34
1587.02	-3.35	NAN	0.49	49.53
1586.96	-3.63	NAN	0.45	49.72
1586.9	-3.53	NAN	0.25	49.92
1586.83	-4.01	NAN	0.09	50.11
1586.77	-4.08	NAN	-0.07	50.3
1586.71	-4.23	8.96	-0.01	50.5
1586.65	-4.18	NAN	-0.14	50.69
1586.58	-4.08	NAN	0.02	50.88
1586.52	-3.91	NAN	0.46	51.08
1586.46	-3.8	NAN	0.37	51.27
1586.4	-3.65	NAN	0.64	51.46
1586.33	-3.41	NAN	0.55	51.66
1586.27	-3.36	NAN	0.59	51.85
1586.21	-3.26	9.27	0.41	52.04
1586.11	-3.31	NAN	0.05	52.43
1586.06	-3.46	NAN	-0.12	52.62
1586.01	-3.56	NAN	-0.07	52.82
1585.96	-3.74	NAN	-0.19	53.01
1585.91	-3.78	NAN	-0.22	53.21
1585.86	-4.02	NAN	-0.07	53.4
1585.81	-3.94	NAN	0.02	53.6
1585.76	-3.99	NAN	-0.14	53.79
1585.71	-4.12	NAN	-0.23	53.99
1585.66	-4.06	NAN	0	54.18
1585.61	-4.13	9.05	-0.18	54.38
1585.56	-3.77	NAN	0.28	54.57
1585.51	-3.62	NAN	0.32	54.77
1585.41	-3.21	NAN	0.58	55.16
1585.36	-3.34	NAN	0.6	55.35
1585.31	-3.13	NAN	0.71	55.55
1585.26	-3.14	NAN	0.37	55.74
1585.21	-3.04	9.32	0.48	55.94
1585.13	-3.44	NAN	-0.19	56.13
1585.05	-3.67	NAN	-0.19	56.33
1584.99	-3.73	NAN	-0.19	56.49
1584.86	-4.03	9.03	-0.21	56.82
1584.79	-3.97	NAN	0.05	56.98
1584.73	-4.01	NAN	0.04	57.14
1584.66	-3.85	NAN	0.2	57.3
1584.6	-3.91	NAN	0.01	57.47
1584.53	-3.61	NAN	0.54	57.63
1584.47	-3.45	NAN	0.54	57.79
1584.4	-3.57	NAN	0.12	57.95
1584.34	-3.11	9.26	0.59	58.12
1584.27	-3.28	NAN	0.33	58.28
1584.21	-3.09	9.28	0.43	58.44
1584.15	-3.26	NAN	-0.04	58.6
1584.09	-3.54	NAN	-0.1	58.77
1584.03	-3.57	NAN	-0.27	58.93
1583.97	-3.66	NAN	-0.29	59.09
1583.91	-3.75	NAN	-0.46	59.25
1583.85	-3.89	NAN	-0.22	59.42
1583.8	-3.94	NAN	-0.15	59.58
1583.74	-3.98	9.01	-0.19	59.74
1583.68	-3.84	NAN	0.01	59.9
1583.62	-3.72	NAN	0.07	60.07
1583.56	-3.61	NAN	0.22	60.23
1583.49	-3.6	NAN	0.23	60.42
1583.42	-3.41	NAN	0.37	60.62
1583.35	-3.25	NAN	0.65	60.81
1583.28	-3.14	NAN	0.64	61
1583.21	-3.08	9.36	0.72	61.2
1583.15	-3.16	NAN	0.64	61.39
1583.08	-3.21	NAN	0.48	61.59
1583.02	-3.29	NAN	0.39	61.78
1582.96	-3.45	NAN	0.08	61.97
1582.9	-3.59	NAN	-0.06	62.17
1582.83	-3.8	NAN	-0.13	62.36
1582.77	-4.02	NAN	-0.37	62.55
1582.71	-4.08	9.05	-0.24	62.75
1582.65	-3.97	NAN	-0.12	62.94
1582.58	-3.92	NAN	-0.09	63.14
1582.52	-3.76	NAN	-0.04	63.33
1582.46	-3.63	NAN	0.16	63.52
1582.4	-3.39	NAN	0.37	63.72
1582.33	-3.24	NAN	0.56	63.91
1582.27	-3.27	NAN	0.59	64.1
1582.21	-3.02	9.34	0.89	64.3
1582.03	-3.11	NAN	0.66	64.65
1581.94	-3.37	NAN	0.35	64.82
1581.84	-3.31	NAN	0.71	65
1581.75	-3.43	NAN	0.61	65.17
1581.66	-3.28	NAN	1.08	65.35
1581.57	-3.39	NAN	0.68	65.52
1581.48	-3.58	9.16	0.73	65.7
1581.39	-3.44	NAN	0.97	65.87
1581.3	-3.39	9.11	0.88	66.05
1581.21	-2.74	NAN	1.42	66.22
1581.17	-3.63	9.24	0.82	66.38
1581.14	-3.49	NAN	0.93	66.54
1581.1	-3.18	NAN	0.84	66.7
1581.03	-2.85	9.44	1.58	67.02
1580.96	-2.91	NAN	1.64	67.34
1580.92	-2.94	NAN	1.75	67.5
1580.89	-2.92	NAN	1.73	67.65
1580.85	-3.18	NAN	1.57	67.81
1580.82	-3.06	NAN	1.47	67.97
1580.77	-3.39	NAN	1.1	68.18
1580.72	-3.6	NAN	1.04	68.39
1580.68	-3.57	NAN	0.67	68.6
1580.63	-3.84	9.15	0.9	68.81
1580.54	-3.65	NAN	1.14	69.24
1580.49	-3.62	NAN	1.04	69.45
1580.44	-3.58	NAN	1.01	69.66
1580.35	-3.09	NAN	1.35	70.08
1580.3	-3.12	NAN	1.25	70.29
1580.26	-3.01	NAN	1.47	70.5
1580.21	-2.96	9.31	1.41	70.71
1580.15	-3.14	NAN	1.17	70.92
1580.09	-2.99	NAN	0.9	71.13
1580.03	-3.17	NAN	0.53	71.34
1579.97	-3.22	NAN	0.8	71.55
1579.91	-3.7	NAN	0.89	71.76
1579.86	-3.6	NAN	0.87	71.97
1579.8	NAN	9.15	NAN	72.18
1579.74	-3.8	NAN	0.84	72.39
1579.62	-3.33	NAN	0.54	72.81
1579.56	-3.57	NAN	0.59	73.03
1579.5	-3.4	NAN	0.86	73.24
1579.44	-3.45	NAN	0.86	73.45
1579.38	-3.21	NAN	0.87	73.66
1579.33	-3.21	NAN	1.08	73.87
1579.27	-3.11	NAN	1.26	74.08
1579.21	-2.98	9.4	1.31	74.29
1579.05	-3.16	NAN	1.06	74.71
1578.98	-3.33	NAN	0.83	74.92
1578.9	-3.5	NAN	0.75	75.13
1578.82	-3.5	NAN	0.67	75.34
1578.75	-3.83	NAN	0.74	75.55
1578.67	-3.75	NAN	0.63	75.76
1578.59	-3.88	9.13	0.41	75.97
1578.53	-3.61	NAN	0.09	76.15
1578.46	-3.44	NAN	0.48	76.32
1578.4	-3.45	NAN	0.46	76.49
1578.34	-3.52	NAN	0.62	76.67
1578.27	-3.36	NAN	1.02	76.84
1578.21	-3.18	9.28	1.28	77.01
1578.14	-3.28	NAN	1.36	77.19
1578.07	-3.33	NAN	1.17	77.36
1577.93	-3.45	NAN	0.75	77.71
1577.86	-3.71	NAN	0.62	77.88
1577.79	-3.68	NAN	0.84	78.06
1577.72	-3.81	9.16	0.71	78.23
1577.65	-3.78	NAN	0.7	78.4
1577.58	-3.72	NAN	0.69	78.58
1577.51	-3.61	NAN	0.71	78.75
1577.44	-3.44	NAN	1.11	78.93
1577.37	-3.16	NAN	1.12	79.1
1577.3	-3.14	NAN	1.48	79.27
1577.21	-2.98	9.37	1.58	79.5
1577.15	-3.08	NAN	1.25	79.73
1577.09	-3.08	NAN	1	79.96
1577.03	-3.35	NAN	0.76	80.19
1576.97	-3.54	NAN	0.63	80.42
1576.91	-3.68	NAN	0.59	80.65
1576.85	-3.61	NAN	0.68	80.88
1576.79	-3.76	NAN	0.72	81.11
1576.73	-3.82	9.14	0.58	81.34
1576.67	-3.78	NAN	0.7	81.57
1576.61	-3.72	NAN	0.65	81.8
1576.54	-3.63	NAN	0.84	82.03
1576.48	-3.46	NAN	0.93	82.26
1576.42	-3.12	NAN	1.18	82.49
1576.36	-3.47	NAN	0.55	82.72
1576.26	-3.16	NAN	1.36	83.12
1576.21	-2.99	9.4	1.53	83.32
1576.14	-3.05	NAN	1.26	83.51
1576.08	-3.14	NAN	1.18	83.71
1576.01	-3.08	NAN	0.87	83.91
1575.94	-3.29	NAN	0.63	84.11
1575.88	-3.36	NAN	0.61	84.31
1575.81	-3.76	NAN	0.27	84.5
1575.74	-3.8	NAN	0.45	84.7
1575.68	-3.9	NAN	0.53	84.9
1575.61	-4.02	9.12	0.64	85.1
1575.54	-3.83	NAN	0.88	85.3
1575.48	-3.93	NAN	0.61	85.49
1575.41	-3.63	NAN	0.97	85.69
1575.34	-3.53	NAN	0.97	85.89
1575.21	-3.17	NAN	1.27	86.29
1575.14	-3.2	NAN	1.49	86.48
1575.08	-3.54	9.34	-0.02	86.68
1575.01	-3.32	NAN	0.88	86.88
1574.94	-3.6	NAN	0.61	87.08
1574.81	-3.97	9.16	0.42	87.47
1574.74	-3.85	NAN	0.47	87.67
1574.68	-3.9	NAN	0.46	87.87
1574.61	-3.91	NAN	0.62	88.07
1574.54	-3.64	NAN	0.73	88.26
1574.48	-3.61	NAN	0.67	88.46
1574.41	-3.48	NAN	0.92	88.66
1574.34	-3.21	NAN	0.82	88.86
1574.28	-3.1	9.34	1.08	89.06
1574.21	-3.04	9.41	0.99	89.25
1574.15	-3.18	NAN	0.85	89.45
1574.08	-3.13	NAN	0.83	89.65
1573.96	-3.49	NAN	0.69	90.05
1573.9	-3.52	NAN	0.57	90.24
1573.83	-3.73	NAN	0.53	90.44
1573.77	-3.55	NAN	1	90.64
1573.71	-3.74	9.25	0.9	90.84
1573.65	-3.71	9.2	0.68	91.04
1573.52	-3.28	NAN	0.93	91.43
1573.4	-3.15	NAN	1.21	91.83
1573.33	-3.18	NAN	1.3	92.02
1573.27	-3.16	NAN	1.09	92.22
1573.21	-3.08	9.33	0.95	92.42
1573.13	-3.27	NAN	0.81	92.62
1573.04	-3.45	NAN	0.67	92.82
1572.96	-3.61	NAN	0.53	93.02
1572.79	-3.83	NAN	0.61	93.42
1572.71	-3.87	9.13	0.56	93.62
1572.63	-3.85	NAN	0.52	93.82
1572.54	-3.6	NAN	0.59	94.02
