# Savusavu Bay, Fiji Diploastrea Coral Stable Isotope and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1881
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/savusavu_bay_2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2004-03-01
#--------------------
# Title
#	Study_Name: Savusavu Bay - Diploastrea Stable Isotope and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#--------------------
# Description_and_Notes
#	Description: Fiji Diploastrea cores 4F1 and LH were collected from opposite sides  of the channel in Savusavu Bay.   Core 4F1 was collected in 10 meters  of water and spans 1940 to 1997, while core LH was collected in  2 meters of water and we present here only the period 1940 to 2001.   The composite d18O and Sr/Ca records are an average of the two cores,  both normalized to the 1970-1996 mean.  Both cores were sampled at  0.5 mm intervals within the upper 50 mm, and at 1 mm intervals below  50 mm depth.
#--------------------
# Publication 
#       Authors: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#       Published_Date_or_Year: 2004   
#       Published_Title: Evaluating the use of the massive coral Diploastrea heliopora for paleoclimate reconstruction.
#       Journal_Name: Paleoceanography
#       Volume: 19
#       Edition: 
#       Issue: PA1032
#       Pages: 
#       DOI: 10.1029/2003PA000935
#       Online_Resource: 
#       Full_Citation: Bagnato, S., B.K. Linsley, S.S. Howe, G.M. Wellington, and J. Salinger. 2005. Coral oxygen isotope records of interdecadal climate variations in the  South Pacific Convergence Zone region.   Geochemistry, Geophysics, Geosystems, Vol. 6, Q06001, 1 June 2005. doi:10.1029/2004GC000879
#       Abstract: To date, coral-based paleoclimate research in the Pacific has primarily  utilized core samples from the genus Porites and has been most successful  reconstructing past variability on interannual timescales, particularly  the El Ni�o Southern Oscillation (ENSO). The Indo-Pacific coral genus  Diploastrea, however, owing to its slower extension rate, denser structure,  and longer lifespan, can potentially preserve geochemical proxy records  2�3 times longer than Porites cores of the same length. Before its potential  can be realized, Diploastrea must first be calibrated and its climate signal  assessed. We present oxygen isotope (d18O) and Sr/Ca results from two  Diploastrea cores collected in Fiji (16�49S, 179�14E) that allow for  simultaneous evaluation of this coral's paleoclimatic utility and the  reproducibility of each tracer at this site. Comparison to a Porites record  from the same location allows for further evaluation of Diploastrea as a  paleoclimatic archive. We demonstrate that Diploastrea's septal and columellar  material yield similar d18O-SST relationships and that despite some sacrifice  of the seasonal d18O amplitude, bulk sampling of either region is satisfactory  for resolving interannual and lower frequency modes of climatic variability.  Therefore paleoclimate reconstructions employing either a septal or columellar  sampling regime of this genus may be useful at filling in spatial and temporal  sampling gaps which currently hinder the reconstruction of long-term changes  in major climate fields in the western Pacific.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Savusavu Bay, Fiji
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>Fiji
#	Country: Fiji 
#	Northernmost_Latitude: -16.82 
# 	Southernmost_Latitude: -16.82 
# 	Easternmost_Longitude: 179.23  
# 	Westernmost_Longitude: 179.23  
# 	Elevation: -2 m  
#------------------
# Data_Collection   
#	Collection_Name: 04fiji02a
#	Earliest_Year: 1939
#	Most_Recent_Year: 2001
#	Time_Unit: AD
#	Core_Length: 
#	Notes: Core name LH
#------------------
# Species
#	Species_Name: Diploastrea heliopora
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##depth	depth, , ,mm, , , , ,N
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Diploastrea heliopora, , permil VPDB, , corals and sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploastrea heliopora, , mmol/mol, , corals and sclerosponges, , ,N
##d13C	delta 13C, Diploastrea heliopora, , permil VPDB, , corals and sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
depth	age	d18O	Sr/Ca	d13C
59	1990.38	-5.05	9.11	0.07
60	1990.30	-5.09	9.12	-0.09
61	1990.21	-5.05	9.09	-0.29
62	1990.13	-5.21	9.09	-0.70
63	1989.63	-5.05	9.07	-0.95
64	1989.34	-5.36	9.13	-0.81
65	1989.04	-5.39	8.99	-0.91
66	1988.90	-5.07	9.08	-0.20
67	1988.77	-5.07	9.09	-0.21
68	1988.63	-4.98	9.12	-0.18
69	1988.13	-4.98	9.10	-0.30
70	1987.98	-4.90	9.13	-0.20
71	1987.84	-4.52	9.19	0.18
72	1987.69	-4.31	9.25	0.21
73	1987.54	-4.25	9.31	-0.04
74	1987.38	-4.52	9.25	-0.20
75	1987.21	-4.61	9.19	0.31
76	1987.02	-4.57	9.13	0.42
77	1986.82	-4.44	9.17	0.39
78	1986.63	-4.37	9.23	0.19
79	1986.49	-4.66	9.19	-0.30
80	1986.35	-4.71	9.14	-0.43
81	1986.21	-4.78	9.13	-0.18
82	1986.02	-4.66	9.18	0.57
83	1985.82	-4.65	9.20	-0.11
84	1985.63	-4.64	9.20	-0.16
85	1985.46	-4.86	9.14	-0.43
86	1985.30	-5.08	9.11	-0.56
87	1985.13	-5.15	9.08	-0.31
88	1984.88	-5.00	9.09	0.16
89	1984.63	-4.78	9.13	0.25
90	1984.49	-4.83	9.14	0.28
91	1984.35	-4.75	9.09	0.05
92	1984.21	-4.88	9.13	0.08
93	1984.07	-4.75	9.09	0.36
94	1983.92	-4.56	9.18	0.54
95	1983.78	-4.45	9.22	-0.05
96	1983.63	-4.44	9.22	-0.07
97	1983.42	-4.61	9.17	-0.01
98	1983.21	-4.70	9.14	0.36
99	1983.04	-4.67	9.15	0.62
100	1982.88	-4.66	9.20	0.18
101	1982.71	-4.50	9.22	0.37
102	1982.38	-4.91	9.17	0.26
103	1982.04	-4.93	9.11	0.57
104	1981.79	-4.73	9.19	1.06
105	1981.54	-4.49	9.23	0.96
106	1981.38	-4.64	9.23	0.42
107	1981.21	-4.97	NAN	0.36
108	1981.02	-4.94	9.23	1.24
109	1980.82	-4.63	9.23	0.77
110	1980.63	-4.44	9.25	0.25
111	1980.49	-4.59	9.18	0.07
112	1980.35	-4.86	9.09	-0.14
113	1980.21	-5.11	9.14	0.17
114	1979.96	-4.79	9.18	0.94
115	1979.71	-4.69	9.22	0.06
116	1979.46	-4.75	9.15	-0.37
117	1979.21	-5.02	9.04	-0.44
118	1979.07	-5.01	9.07	-0.05
119	1978.92	-4.94	9.11	0.37
120	1978.78	-4.53	9.14	0.28
121	1978.63	-4.44	9.21	0.22
122	1978.46	-4.59	9.17	-0.22
123	1978.30	-4.87	9.13	-0.21
124	1978.13	-4.93	9.06	-0.40
125	1978.03	-4.85	9.11	0.02
126	1977.92	-4.60	9.16	0.32
127	1977.82	-4.45	9.21	0.09
128	1977.71	-4.39	9.14	-0.12
129	1977.54	-4.76	9.14	-0.46
130	1977.38	-4.78	9.11	-0.45
131	1977.21	-5.08	9.09	-0.34
132	1977.04	-4.92	9.12	0.18
133	1976.88	-4.79	9.16	-0.03
134	1976.71	-4.57	9.13	0.23
135	1976.57	-4.83	9.13	-0.14
136	1976.43	-5.15	9.04	-0.14
137	1976.29	-5.21	9.08	-0.05
138	1976.13	-5.21	9.12	0.78
139	1975.96	-4.90	9.17	0.60
140	1975.80	-4.94	9.18	-0.06
141	1975.63	-4.86	9.16	-0.23
142	1975.49	-5.08	9.12	-0.30
143	1975.35	-5.11	9.14	-0.35
144	1975.21	-5.23	9.18	0.26
145	1974.99	-4.96	9.14	0.66
146	1974.76	-4.97	9.13	0.38
147	1974.54	-4.86	9.16	0.14
148	1974.34	-5.04	9.08	0.03
149	1974.13	-5.24	9.08	-0.09
150	1973.96	-4.95	9.08	0.61
151	1973.80	-4.57	9.20	0.92
152	1973.63	-4.54	9.17	0.42
153	1973.49	-4.71	9.16	-0.24
154	1973.35	-4.99	9.09	-0.32
155	1973.21	-5.03	9.07	-0.25
156	1973.02	-4.78	9.11	0.40
157	1972.82	-4.64	9.17	0.14
158	1972.63	-4.62	9.19	-0.18
159	1972.49	-4.72	9.18	-0.11
160	1972.35	-5.10	9.08	-0.08
161	1972.21	-5.21	9.08	0.20
162	1972.02	-4.96	9.11	0.41
163	1971.82	-4.94	9.11	0.41
164	1971.63	-4.80	9.13	0.10
165	1971.38	-4.82	9.08	0.22
166	1971.13	-5.06	9.13	-0.02
167	1970.96	-4.77	9.09	0.06
168	1970.79	-4.60	9.11	-0.31
169	1970.57	-4.67	9.16	-0.39
170	1970.35	-4.69	9.11	-0.54
171	1970.13	-4.89	9.06	-0.49
172	1970.00	-4.74	9.08	-0.04
173	1969.88	-4.81	9.14	0.18
174	1969.75	-4.42	9.26	0.52
175	1969.62	-4.33	9.22	0.18
176	1969.42	-4.62	9.22	-0.15
177	1969.21	-4.84	9.14	0.26
178	1968.92	-4.74	9.22	1.21
179	1968.62	-4.72	9.23	0.95
180	1968.21	-4.95	9.18	-0.06
181	1967.62	-4.67	9.18	-0.14
182	1967.42	-4.82	9.13	-0.09
183	1967.21	-4.96	9.09	0.35
184	1967.01	-4.81	9.16	0.21
185	1966.82	-4.74	9.20	0.01
186	1966.62	-4.64	9.19	-0.21
187	1966.21	-4.67	9.19	-0.20
188	1966.01	-4.61	9.10	0.41
189	1965.82	-4.45	9.01	0.39
190	1965.62	-4.42	9.16	0.16
191	1965.42	-4.44	9.12	-0.03
192	1965.21	-4.70	9.14	-0.13
193	1964.92	-4.58	9.15	0.44
194	1964.62	-4.33	9.21	0.59
195	1964.52	-4.49	9.19	0.55
196	1964.42	-4.61	9.24	0.16
197	1964.31	-4.74	9.18	0.06
198	1964.21	-4.89	NAN	0.25
199	1964.06	-4.76	NAN	0.22
200	1963.92	-4.79	NAN	-0.04
201	1963.77	-4.61	NAN	0.02
202	1963.62	-4.58	NAN	0.19
203	1963.48	-4.68	NAN	0.51
204	1963.35	-4.69	NAN	0.62
205	1963.21	-4.84	NAN	0.25
206	1963.01	-4.70	NAN	0.30
207	1962.82	-4.69	NAN	0.54
208	1962.62	-4.59	NAN	0.98
209	1962.42	-4.70	NAN	0.76
210	1962.21	-4.83	NAN	0.62
211	1961.92	-4.84	NAN	1.09
212	1961.62	-4.71	NAN	1.02
213	1961.48	-4.75	NAN	0.88
214	1961.35	-4.81	NAN	0.51
215	1961.21	-4.91	NAN	0.62
216	1960.62	-4.71	NAN	0.94
217	1960.42	-4.85	NAN	0.58
218	1960.21	-4.90	NAN	0.40
219	1960.11	-4.89	NAN	0.47
220	1960.01	-4.87	NAN	0.53
221	1959.92	-4.66	NAN	0.59
222	1959.82	-4.64	NAN	0.40
223	1959.72	-4.62	NAN	0.41
224	1959.62	-4.51	NAN	0.32
225	1959.21	-4.78	NAN	0.41
226	1958.92	-4.60	NAN	0.67
227	1958.62	-4.32	NAN	0.54
228	1958.48	-4.37	NAN	0.15
229	1958.35	-4.53	NAN	0.12
230	1958.21	-4.65	NAN	0.26
231	1957.92	-4.56	NAN	0.44
232	1957.62	-4.35	NAN	0.83
233	1957.48	-4.67	NAN	0.37
234	1957.35	-4.82	NAN	0.21
235	1957.21	-5.05	NAN	0.31
236	1956.62	-4.48	NAN	0.65
237	1956.48	-4.80	NAN	0.31
238	1956.35	-5.07	NAN	0.15
239	1956.21	-5.10	NAN	0.14
240	1956.06	-5.06	NAN	0.30
241	1955.92	-4.94	NAN	0.34
242	1955.77	-4.94	NAN	0.35
243	1955.62	-4.88	NAN	0.58
244	1955.21	-5.16	NAN	0.19
245	1955.01	-4.99	NAN	0.36
246	1954.82	-4.72	NAN	0.53
247	1954.62	-4.45	NAN	0.40
248	1954.42	-4.72	NAN	0.03
249	1954.21	-4.87	NAN	-0.16
250	1954.06	-4.68	NAN	0.32
251	1953.92	-4.50	NAN	0.47
252	1953.77	-4.48	NAN	0.27
253	1953.62	-4.42	NAN	0.14
254	1953.42	-4.64	NAN	0.14
255	1953.21	-4.87	NAN	-0.03
256	1953.06	-4.63	NAN	0.53
257	1952.92	-4.57	NAN	0.42
258	1952.77	-4.66	NAN	-0.11
259	1952.62	-4.51	NAN	-0.10
260	1952.42	-4.75	NAN	0.03
261	1952.21	-4.96	NAN	-0.14
262	1951.92	-4.87	NAN	0.16
263	1951.62	-4.59	NAN	0.12
264	1951.48	-4.70	NAN	0.04
265	1951.35	-4.86	NAN	-0.06
266	1951.21	-5.08	NAN	0.08
267	1951.01	-5.04	NAN	0.36
268	1950.82	-4.85	NAN	0.42
269	1950.62	-4.75	NAN	0.26
270	1950.42	-4.83	NAN	0.02
271	1950.21	-4.94	NAN	0.20
272	1950.01	-4.88	NAN	0.59
273	1949.82	-4.70	NAN	0.54
274	1949.62	-4.68	NAN	0.30
275	1949.42	-4.89	NAN	0.15
276	1949.21	-5.11	NAN	0.24
277	1948.92	-5.05	NAN	0.46
278	1948.62	-4.77	NAN	0.93
279	1948.42	-4.85	NAN	0.51
280	1948.21	-4.97	NAN	0.39
281	1948.06	-4.84	NAN	0.41
282	1947.92	-4.84	NAN	0.72
283	1947.77	-4.75	NAN	0.66
284	1947.62	-4.66	NAN	0.30
285	1947.42	-4.85	NAN	0.15
286	1947.21	-4.92	NAN	0.42
287	1946.92	-4.84	NAN	0.87
288	1946.62	-4.60	NAN	0.54
289	1946.42	-4.63	NAN	0.63
290	1946.21	-5.02	NAN	0.70
291	1945.92	-4.83	NAN	1.15
292	1945.62	-4.58	NAN	0.69
293	1945.42	-4.72	NAN	0.63
294	1945.21	-4.85	NAN	0.65
295	1944.92	-4.81	NAN	0.92
296	1944.62	-4.73	NAN	0.32
297	1944.54	-4.80	NAN	-0.04
298	1944.46	-4.97	NAN	-0.32
299	1944.37	-5.02	NAN	0.02
300	1944.29	-5.14	NAN	0.20
301	1944.21	-5.20	NAN	-0.04
302	1943.92	-4.91	NAN	-0.02
303	1943.62	-4.84	NAN	-0.02
304	1943.42	-4.96	NAN	-0.19
305	1943.21	-5.18	NAN	-0.19
306	1943.06	-5.09	NAN	0.28
307	1942.92	-4.86	NAN	0.18
308	1942.77	-4.65	NAN	0.13
309	1942.62	-4.59	NAN	-0.06
310	1942.42	-4.76	NAN	-0.18
311	1942.21	-4.78	NAN	0.01
312	1942.01	-4.77	NAN	0.60
313	1941.82	-4.54	NAN	0.39
314	1941.62	-4.45	NAN	-0.03
315	1941.48	-4.58	NAN	-0.28
316	1941.35	-4.58	NAN	-0.25
317	1941.21	-4.80	NAN	0.43
318	1941.01	-4.53	NAN	0.74
319	1940.82	-4.54	NAN	0.26
320	1940.62	-4.49	NAN	0.08
321	1940.42	-4.73	NAN	-0.17
322	1940.21	-4.82	NAN	0.03
323	1939.92	-4.81	NAN	0.36
