,year,avg_tree_ring_width,lat,long,elevation,tree_species,organism_group,temp_anom
568604,1943,433.6857142857144,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568605,1944,402.3428571428572,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568606,1945,439.9714285714286,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568607,1946,376.45714285714286,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568608,1947,304.97142857142865,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568609,1948,394.0,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568610,1949,267.2857142857143,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568611,1950,379.0,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568612,1951,295.54285714285714,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568613,1952,318.11764705882354,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568614,1953,319.1764705882353,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568615,1954,385.2941176470589,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568616,1955,327.6363636363636,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568617,1956,303.24242424242425,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568618,1957,273.6666666666667,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568619,1958,338.24242424242425,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568620,1959,261.7878787878788,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568621,1960,359.45454545454544,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568622,1961,320.24242424242425,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568623,1962,271.42424242424244,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568624,1963,283.1212121212121,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568625,1964,249.48484848484853,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568626,1965,313.6666666666667,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568627,1966,283.8181818181818,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568628,1967,225.6969696969697,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568629,1968,254.72727272727272,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568630,1969,238.0606060606061,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568631,1970,256.15151515151507,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568632,1971,233.84375,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568633,1972,269.09375,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568634,1973,268.4,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568635,1974,211.63333333333333,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568636,1975,309.2,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568637,1976,276.6551724137931,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568638,1977,223.06896551724137,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568639,1978,264.3448275862069,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568640,1979,221.1379310344828,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568641,1980,267.8965517241379,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568642,1981,242.06896551724137,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568643,1982,300.41379310344826,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568644,1983,231.3448275862069,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568645,1984,248.27586206896552,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568646,1985,220.79310344827587,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568647,1986,269.7586206896552,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568648,1987,230.03448275862067,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568649,1988,234.93103448275863,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568650,1989,235.27586206896552,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568651,1990,234.7586206896552,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568652,1991,207.896551724138,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568653,1992,331.0,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568654,1993,298.89655172413785,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568655,1994,257.2857142857143,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568656,1995,290.35714285714283,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568657,1996,320.7142857142857,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568658,1997,293.5,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568659,1998,280.17857142857144,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568660,1999,284.2142857142857,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568661,2000,344.8928571428572,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568662,2001,246.9642857142857,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568663,2002,241.9642857142857,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568664,2003,251.3928571428572,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
569053,1880,864.6875,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569054,1881,964.28125,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569055,1882,988.75,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569056,1883,963.28125,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569057,1884,1094.121212121212,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569058,1885,817.9090909090909,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569059,1886,874.2727272727273,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569060,1887,1089.030303030303,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569061,1888,887.2352941176471,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569062,1889,904.029411764706,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569063,1890,871.2941176470587,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569064,1891,995.2352941176472,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569065,1892,824.1764705882354,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569066,1893,887.3235294117646,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569067,1894,889.1470588235294,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569068,1895,991.4411764705884,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569069,1896,894.5882352941177,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569070,1897,1104.7647058823532,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569071,1898,1242.411764705883,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569072,1899,1225.529411764706,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569073,1900,1345.0588235294117,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569074,1901,1484.088235294117,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569075,1902,1093.2647058823532,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569076,1903,1110.0,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569077,1904,861.8823529411765,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569078,1905,794.0882352941177,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569079,1906,777.8529411764706,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569080,1907,806.0882352941177,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569081,1908,721.0588235294118,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569082,1909,706.1470588235294,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569083,1910,987.8823529411764,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569084,1911,946.3235294117646,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569085,1912,726.9705882352941,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569086,1913,712.4705882352941,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569087,1914,782.6176470588235,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569088,1915,593.5882352941177,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569089,1916,711.9117647058823,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569090,1917,800.9117647058823,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569091,1918,798.8529411764706,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569092,1919,953.4117647058824,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569093,1920,818.3823529411765,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569094,1921,1018.7058823529412,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569095,1922,1095.8235294117646,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569096,1923,954.6764705882354,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569097,1924,787.5294117647059,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569098,1925,1033.3529411764705,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569099,1926,1047.3235294117646,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569100,1927,898.9705882352941,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569101,1928,681.7941176470587,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569102,1929,734.5588235294118,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569103,1930,881.0294117647059,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569104,1931,907.1470588235294,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569105,1932,969.0882352941176,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569106,1933,813.1764705882354,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569107,1934,825.2647058823529,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569108,1935,807.7058823529413,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569109,1936,775.7647058823529,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569110,1937,790.9117647058823,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569111,1938,758.4411764705882,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569112,1939,701.7647058823529,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569113,1940,820.9411764705882,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569114,1941,777.1176470588235,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569115,1942,653.1176470588234,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569116,1943,548.7058823529412,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569117,1944,471.0882352941177,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569118,1945,469.6764705882353,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569119,1946,576.1470588235294,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569120,1947,621.6764705882352,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569121,1948,519.1176470588234,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569122,1949,663.1764705882352,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569123,1950,561.6764705882351,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569124,1951,664.1470588235294,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569125,1952,425.9411764705882,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569126,1953,463.05882352941177,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569127,1954,456.9117647058823,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569128,1955,514.2058823529412,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569129,1956,751.8823529411765,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569130,1957,698.7647058823529,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569131,1958,720.2058823529413,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569132,1959,859.4705882352941,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569133,1960,895.5882352941177,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569134,1961,673.6176470588234,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569135,1962,786.9117647058823,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569136,1963,783.4117647058823,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569137,1964,677.9117647058823,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569138,1965,722.3235294117646,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569139,1966,578.0294117647059,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569140,1967,528.3529411764706,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569141,1968,514.1176470588234,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569142,1969,429.4411764705882,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569143,1970,353.2058823529412,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569144,1971,425.3823529411765,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569145,1972,512.3823529411766,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569146,1973,484.7352941176471,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569147,1974,466.0,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569148,1975,510.9411764705882,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569149,1976,466.7352941176471,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569150,1977,449.6470588235293,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569151,1978,595.7058823529413,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569152,1979,582.4117647058823,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569153,1980,507.2352941176471,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569154,1981,591.3235294117648,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569155,1982,501.6470588235293,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569156,1983,504.1176470588235,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569157,1984,837.3529411764706,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569158,1985,854.0294117647059,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569159,1986,906.3823529411764,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569160,1987,941.8823529411764,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569161,1988,965.2352941176472,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
569162,1989,916.7058823529412,59.98,-112.35,200.0,Picea glauca (Moench) Voss,0,
584163,1880,124.12121212121212,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584164,1881,119.32352941176472,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584165,1882,124.41176470588236,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584166,1883,92.5,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584167,1884,81.52941176470588,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584168,1885,66.64705882352939,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584169,1886,60.29411764705882,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584170,1887,81.17647058823529,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584171,1888,77.73529411764707,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584172,1889,91.58823529411764,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584173,1890,91.97058823529412,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584174,1891,100.82352941176472,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584175,1892,93.11764705882356,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584176,1893,98.05714285714286,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584177,1894,96.62857142857143,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584178,1895,113.0,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584179,1896,110.71428571428572,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584180,1897,118.02777777777776,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584181,1898,119.63888888888889,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584182,1899,124.37837837837836,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584183,1900,137.78378378378378,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584184,1901,149.5263157894737,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584185,1902,111.10526315789473,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584186,1903,98.2894736842105,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584187,1904,123.12820512820512,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584188,1905,126.3846153846154,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584189,1906,121.66666666666669,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584190,1907,91.56410256410255,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584191,1908,113.20512820512822,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584192,1909,109.89743589743593,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584193,1910,112.15384615384616,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584194,1911,120.53658536585364,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584195,1912,73.90243902439025,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584196,1913,77.07142857142857,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584197,1914,92.76190476190476,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584198,1915,80.09523809523809,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584199,1916,82.30952380952381,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584200,1917,102.95238095238096,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584201,1918,113.88095238095238,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584202,1919,133.52380952380952,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584203,1920,77.14285714285714,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584204,1921,133.2380952380952,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584205,1922,123.83720930232558,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584206,1923,119.3409090909091,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584207,1924,116.29545454545456,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584208,1925,141.11363636363637,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584209,1926,138.4318181818182,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584210,1927,150.54545454545453,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584211,1928,90.13636363636364,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584212,1929,104.38636363636364,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584213,1930,151.1590909090909,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584214,1931,163.72727272727272,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584215,1932,198.38636363636363,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584216,1933,145.0,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584217,1934,170.02272727272728,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584218,1935,186.3181818181818,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584219,1936,159.95454545454547,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584220,1937,134.79545454545453,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584221,1938,99.9090909090909,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584222,1939,64.29545454545455,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584223,1940,88.68181818181819,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584224,1941,98.72727272727272,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584225,1942,79.1590909090909,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584226,1943,59.40909090909091,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584227,1944,61.56818181818182,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584228,1945,35.04545454545455,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584229,1946,48.68181818181818,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584230,1947,72.1590909090909,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584231,1948,90.79545454545456,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584232,1949,91.5681818181818,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584233,1950,74.02272727272727,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
584234,1951,99.95555555555556,59.0,-112.0,209.0,Picea glauca (Moench) Voss,0,
